"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7651598557727","","7.65372297215671","13.4938256902999","22.6316832558336","13.4156622588404","13.8862195542516","12.3838069317306","13.3613635427771","11.4742593097946","7.92290579737553","18.5513890102445","18.8589648454754","16.1764023377716","18.082812127062","24.3514773560433","28.4375542145841","29.7812624244536","28.7269515841652","30.8370164911476","30.5178345871361","30.1677090731716","31.6843843667317","31.7520133517177","30.8396699973471","23.6305712508099",
"American Samoa","ASM","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","1.4931423444832","1.6225931559801","3.03464023819708","","36.0673242360036","17.4507231479952","","","8.70119480224155","","","","","","","","","","","","","","","","","","16.5340830393743","27.2273694026825","","","","","18.679498229766","","37.9702388092215","","48.3050837693822","50.654320061777","58.689528949777","56.8403419695816","37.7938963457954","25.6778831813873","52.1045892042161","54.7812207065544","52.2717323901558","42.7533388162064","77.9266050674273","25.6989570678931","76.657828609758","55.4903885498863",
"Australia","AUS","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","39.8346474957375","39.7859421982777","39.5769854203446","36.3553638686411","41.3669043112733","34.0922913925492","32.8049835924639","34.013536231507","38.3387630373528","36.9111571644683","31.9349827916758","34.5433057090814","35.6423023743124","32.6953222064549","31.7595902340097","29.4919537078208","33.7723574644005","34.4300931973302","30.9855820389911","30.6341723630904","25.0187660648647","28.6704877205042","24.8343781512626","27.3465803253478","24.1812089474581","20.9359104586469","22.3074888773581","21.1184923002457","19.4567024709607","20.2839560279395","22.4197828929998","23.0716504200323","20.5204322955242","23.096554089928","22.9599301473084","20.2460021888008","23.0979399459233","19.7329920353743","20.5933416064631","20.7996640502923","18.2709640627415","20.7204182561256","16.1321568548701","14.5343437897045","12.6320403030855","11.5441905002196","12.9946113610458","10.5858043528421","10.8752764770358","11.9823391230484","12.4049150581909","13.3019483881892","16.1915205417184","14.6721390580282","14.0459429362126","11.8414555496122","11.0197731750988","11.3492210938212","11.102611449477","11.0328119505819",
"Austria","AUT","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","5.55781488093198","4.69559480990127","5.4531837262518","4.7554754434059","5.8710417287511","4.73277952629499","4.57743460422446","4.67164343769715","4.84058091540926","5.5024273751552","4.52598246008905","3.82796689392966","4.15453979452601","4.26249422624998","3.75838172165734","4.03132730504573","4.0128101005826","4.15833292245852","4.39259879575785","4.66041372594959","4.56361799636398","4.65975540150534","4.28411957791563","3.88330017334415","3.47037411817569","3.49970099243237","3.68443382845117","3.31911497770665","3.25565456851624","3.34045816521263","3.51476245526176","3.75473319072651","3.84395972964709","4.51005914147522","4.76792377779912","4.80780358727842","5.42321942407299","4.72534827227104","5.12483610701989","5.28783781737682","5.98414338204417","5.82457676525111","6.16984880198757","6.03593553988264","6.17155624108968","6.5356318805953","7.3285447973106","6.87266748921324","6.91374306164592","7.1724262532696","7.38679619440216","7.40850835466596","7.46235397626399","7.71425139668457","7.63765869542947","7.46947491329084","7.79821177386543","8.7015148241183","8.11899030185695","8.11262116809447",
"Azerbaijan","AZE","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.37136768529811","6.92296832032364","7.50717710800822","6.29239648199638","3.16351770544605","2.31306992924409","3.02939208280151","4.84056698161315","4.25926378095469","7.47941699098115","5.02906629697011","8.33768833668732","1.11110421423308","3.57285745940785","2.78351999611204","2.69659870769234","3.47769494596382","3.64929142539887","3.82234634621409","6.05666184546253","3.89296914379125","4.27292186648623","3.59606857374616","3.91366853510777","5.49199064648738","3.644897613747","2.36936868064444",
"Burundi","BDI","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","","","","75.273836479008","","","","","","","","","88.3748663755586","91.6414139768823","93.254353035102","","","","","","","","","","","","","","","","","30.2292572732904","51.1636033521949","59.8372339244102","66.3733622044748","98.2962321234812","99.1127796322039","70.1175266726928","85.8219477229024","74.7387313359193","81.4536107020982","45.0800199213349","44.0615789896583","45.1207269470412","31.1809369760396","35.0456508351495","36.9371347420419","50.1777733656718","72.4468146312641","50.1648178187902","37.4885198358316","26.5981563645765","59.146540114475","63.5539634414398","66.2355762569752","59.9979505481623","52.6151486072402","47.4703808833362","51.9361062985069","49.5520374210319","56.511963911139",
"Belgium","BEL","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","6.04277474399065","6.89017015478183","6.17028867656039","7.07277255877036","7.15954598481563","8.24856142663308","8.18505204639056","8.06017177555525","8.38885798826004","9.2860270271655","9.58089342986154","9.62255562335909","8.8627966503426","10.0989710987626","9.4890103031989","9.65807510842093","9.54916799875522","9.26815047874059","9.38537077443856","10.7379708667016","11.0195671973451","10.1765527058137","10.8690535533175","10.2724320536213","10.2365592186664","10.2602182700758","","","","","","","","","","","","10.0399494993009","8.91653478703759","9.17188242023965","8.55740326154138","8.69334243716118","8.32979420951883","8.05974159644903","7.80436164794129","7.94673206881619","8.58664398829324","9.62482516741134","10.8252043165333","10.3844101088132","10.9436611877196","11.1553783893749","11.1908327364565","11.9051174778833","11.5446712155971","11.3069143684548","10.9014613742271","11.0564557461702","11.8719288376897","10.3347622344753","9.17454829533422",
"Benin","BEN","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","93.327550081991","89.5890052280226","93.2980268413284","88.6608591885794","76.6175858561168","67.7561867507699","74.3629879786611","73.8017051023553","70.9091825252553","74.3083705440573","62.0716460230046","61.2489260887434","43.359276070646","","","","","70.7011533736054","61.8226895530177","","35.9555892157304","","","","","","","","","","","","","","","","15.3057855760866","16.1083315409964","20.0528508768833","19.0624038417329","30.9589519745319","18.5907825318844","18.332911787217","25.8985192888046","39.3160841942934","38.0416297041752","30.1095079877502","49.2970165944412","67.5990364408471","38.0634234384414","40.3415899650287","36.9454692297006","29.8589232644711","31.8474689371129","33.4189479871795","33.5756201599971","37.2550158016343","29.0248887182847","25.0681968024282","19.8939876347536","18.5015208248036",
"Burkina Faso","BFA","Food exports (% of merchandise exports)","TX.VAL.FOOD.ZS.UN","","","84.4012354097883","75.7122648537846","76.101880109687","83.3204750233262","81.4872399192138","74.8558711505093","76.5969475493508","65.392292896867","67.8855504205305","72.6381904829245","67.898657761854","67.8797755892115","71.855210451029","74.8242613924562","45.2488504546714","51.0987490435554","55.5304757486698","49.089707024862","41.3274111420831","39.8825278825877","40.8537927678045","33.4974160582261","","","","","","","","","","","","22.5376782807586","18.8024090377865","15.4522704380641","15.8388440130562","15.8513752539241","18.7685630684954","21.3539699993842","19.4428911914734","18.5598169338571","18.4078597372363","16.3674968047749","","19.6736110199614","20.0959102723672","12.1450857880664","10.1007194017002","8.45067979580038","8.02973633410215","12.4312743805049","11.9195432397622","16.4645833580554","12.8766421142816","13.5208170856727","14.5404922659538","9.89528813450804","6.79282048247422","6.74699489343276","8.3635287758353",
